"","LAGOSLAKEI","OBJECTID","A_1","A_2","A_3","IWS_area_ha.x","GAP12_IWS_ha","GAP123_IWS_ha","GAP12_IWS_pct","GAP123_IWS_pct","IWS_area_ha.y","IWS_area_ha"
"206",2195,1232,0,1505700,0,4601.475897,150.57,150.57,0.0327221098991666,0.0327221098991666,4601.475897,4601.475897
"207",2197,1233,0,521704800,107492400,160426.2863,52170.48,62919.72,0.32519907555823,0.392203306896596,160426.2863,160426.2863
"208",2227,1252,0,27221400,331119000,221264.2441,2722.14,35834.04,0.0123026655801185,0.161951336266536,221264.2441,221264.2441
"209",2233,1256,756900,1865700,346500,345.8566464,262.26,296.91,0.75829105130651,0.858477068723465,345.8566464,345.8566464
"210",2239,1259,0,85500,0,32.31557616,8.55,8.55,0.264578293689318,0.264578293689318,32.31557616,32.31557616
"211",2245,1262,0,2125800,0,285.7710338,212.58,212.58,0.743882251371832,0.743882251371832,285.7710338,285.7710338
"212",2265,1273,0,59540400,0,7111.890184,5954.04,5954.04,0.83719515430583,0.83719515430583,7111.890184,7111.890184
"213",2267,1275,0,0,92700,164.1260852,0,9.27,0,0.05648096698769,164.1260852,164.1260852
"214",2268,1276,0,0,2895300,1294.356991,0,289.53,0,0.223686357019877,1294.356991,1294.356991
"215",2272,1279,0,94500,0,4283.639721,9.45,9.45,0.00220606788046917,0.00220606788046917,4283.639721,4283.639721
"216",2273,1280,0,0,2863800,698.723218,0,286.38,0,0.409861863213482,698.723218,698.723218
"217",2292,1290,0,383400,0,601.334582,38.34,38.34,0.063758182462222,0.063758182462222,601.334582,601.334582
"218",2294,1291,0,759600,0,61211.6402,75.96,75.96,0.00124094044452676,0.00124094044452676,61211.6402,61211.6402
"219",2299,1294,0,0,405900,1040.879223,0,40.59,0,0.0389958787754571,1040.879223,1040.879223
"220",2311,1299,0,4704300,113319900,90300.45149,470.43,11802.42,0.00520960850402942,0.130701672087509,90300.45149,90300.45149
"221",2313,1301,0,0,15803100,1581.077759,0,1580.31,0,0.999514407817307,1581.077759,1581.077759
"222",2317,1304,1560600,4728600,0,1055.952847,628.92,628.92,0.595594776591383,0.595594776591383,1055.952847,1055.952847
"223",2327,1310,0,0,75568500,30057.01802,0,7556.85,0,0.251417156384963,30057.01802,30057.01802
"224",2338,1313,0,7200,0,2117.668165,0.72,0.72,0.000339996611319885,0.000339996611319885,2117.668165,2117.668165
"225",2341,1315,0,0,1476000,1569.340026,0,147.6,0,0.0940522751950762,1569.340026,1569.340026
"226",2355,1321,0,0,2580300,1275.553299,0,258.03,0,0.202288685390323,1275.553299,1275.553299
"227",2360,1325,0,542700,0,225.4302087,54.27,54.27,0.240739696391897,0.240739696391897,225.4302087,225.4302087
"228",2363,1327,0,148500,0,2408.962343,14.85,14.85,0.00616447992354524,0.00616447992354524,2408.962343,2408.962343
"229",2371,1331,0,33783300,3342600,4521.745577,3378.33,3712.59,0.747129607907172,0.82105238713213,4521.745577,4521.745577
"230",2372,1332,0,0,12821400,1532.844875,0,1282.14,0,0.83644471851726,1532.844875,1532.844875
"231",2381,1338,0,282600,0,41.03407272,28.26,28.26,0.68869595745065,0.68869595745065,41.03407272,41.03407272
"232",2386,1340,24996600,6425100,14636700,30794.48049,3142.17,4605.84,0.102036791983562,0.14956706288634,30794.48049,30794.48049
"233",2391,1342,0,0,8387100,1303.249305,0,838.71,0,0.643553000014836,1303.249305,1303.249305
"234",2408,1352,0,0,222300,48.90936203,0,22.23,0,0.454514209086689,48.90936203,48.90936203
"235",2412,1353,1488600,41400,0,400.8308622,153,153,0.381707134925301,0.381707134925301,400.8308622,400.8308622
"236",2422,1359,0,4266000,2700900,1206.045149,426.6,696.69,0.353718101145482,0.577664941132316,1206.045149,1206.045149
"237",2428,1362,0,0,6300,609.9961077,0,0.63,0,0.00103279347531483,609.9961077,609.9961077
"238",2433,1365,0,26100,72900,1639.899776,2.61,9.9,0.00159156067840087,0.00603695429738262,1639.899776,1639.899776
"239",2434,1366,0,528300,9052200,6102.342005,52.83,958.05,0.00865733188285962,0.15699710032886,6102.342005,6102.342005
"240",2435,1367,0,0,28207800,3772.998556,0,2820.78,0,0.747622867629849,3772.998556,3772.998556
