"","lagoslakeid","iws_lakes_overlapping_area_pct","iws_streamdensity_streams_density_mperha","iws_wl_allwetlandsdissolved_overlapping_area_pct","iws_wl_connectedwetlandsundissolved_overlapping_area_pct","buffer500m_streamdensity_streams_density_mperha","shoreline_wetlands_pct"
"369",2392,0,2e-04,2.8432,0.0255,2.413,0.148134305470925
"370",2404,0,0.0119,20.7711,0.0185,3.5357,0.0763481475528409
"371",2408,0,0,26.9771,0,0,1.13643029156908
"372",2410,0,0,3.066,0,13.6498,0
"373",2412,0,5.7446,18.8656,6.1006,6.5159,0.357012164262968
"374",2417,0,9.0686,10.4217,5.2698,5.4506,0.3708445042924
"375",2422,0,0.003,0.8189,0,0,0.147023218262265
"376",2428,1.0351,0.0724,0.8221,0,1.569,0
"377",2433,0.4889,8.9332,32.9206,19.2472,6.2154,0.303198314611093
"378",2434,0,0.4323,1.4184,0.1277,0.7878,0.0538556380951748
"379",2435,0,3.3038,23.2012,12.9386,5.0463,0.520873359843251
"380",2441,0,4.2124,28.9745,13.6648,10.7685,0.29134315606361
"381",2443,0,0,11.7696,0.0368,7.2126,0.0541998948115242
"382",2456,0,0,3.0321,0,0,0
"383",2457,0,11.1699,7.3888,5.0892,11.3428,0.269510055554465
"384",2479,0,8e-04,17.3523,0.7032,3.3177,0.552147052583155
"385",2484,2.6356,6.8264,9.3361,4.4589,4.6182,0.286426777729019
"386",2488,0,2.6691,4.6771,0.4342,3.8067,0
"387",2489,1.0286,2.6728,17.0745,12.5387,4.4167,0.22031221868085
"388",2494,0,0,16.9347,0,2.2881,0.149942377047206
"389",2502,0,8.6709,14.9907,5.0595,9.4965,0.286259640357546
"390",2510,0.0705,6.3937,10.2303,5.6373,3.8336,0
"391",2515,0.7911,6.6717,25.793,11.0346,5.8107,0.539716535079876
"392",2519,0,2.5985,66.3578,47.2164,11.2732,0.764431955940592
"393",2520,0,1.274,4.4665,3.2701,3.8452,0.167352548801013
"394",2521,0,5.5285,25.4556,12.8325,4.8771,0.446246001099665
"395",2524,0.0219,6.9821,14.2362,6.9703,3.024,0.196092875818295
"396",2525,0,0,6.3175,0,0,0.0543158390083933
"397",2527,0.1352,6.6209,40.044,28.5835,5.1663,0.452945057518792
